                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                    nan,                    nan,                    nan,                0.01547,                0.61538,                0.01427,                0.00983,                    nan,                    nan,                    nan,                0.00066,                0.00066,                0.00066
                      2,                    nan,                    nan,                    nan,                0.01329,                0.92308,                0.01986,                0.01245,                    nan,                    nan,                    nan,              0.0012829,              0.0012829,              0.0012829
                      3,                    nan,                    nan,                    nan,                0.01309,                0.92308,                0.02065,                0.01288,                    nan,                    nan,                    nan,              0.0018618,              0.0018618,              0.0018618
                      4,                    nan,                    nan,                    nan,                0.01306,                0.92308,                0.02082,                0.01334,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      5,                    nan,                    nan,                    nan,                0.01335,                0.92308,                0.01977,                0.01269,                    nan,                    nan,                    nan,               0.001802,               0.001802,               0.001802
                      6,                    nan,                    nan,                    nan,                 0.0135,                0.92308,                0.02042,                0.01275,                    nan,                    nan,                    nan,               0.001736,               0.001736,               0.001736
                      7,                    nan,                    nan,                    nan,                0.01327,                0.92308,                0.02098,                0.01308,                    nan,                    nan,                    nan,                0.00167,                0.00167,                0.00167
                      8,                    nan,                    nan,                    nan,                0.01335,                0.92308,                 0.0198,                 0.0126,                    nan,                    nan,                    nan,               0.001604,               0.001604,               0.001604
                      9,                    nan,                    nan,                    nan,                0.01327,                0.92308,                0.02026,                0.01297,                    nan,                    nan,                    nan,               0.001538,               0.001538,               0.001538
                     10,                    nan,                    nan,                    nan,                0.01326,                0.92308,                0.02025,                0.01205,                    nan,                    nan,                    nan,               0.001472,               0.001472,               0.001472
                     11,                    nan,                    nan,                    nan,                0.01344,                0.92308,                0.01959,                0.01265,                    nan,                    nan,                    nan,               0.001406,               0.001406,               0.001406
                     12,                    nan,                    nan,                    nan,                0.01317,                0.92308,                0.01926,                0.01192,                    nan,                    nan,                    nan,                0.00134,                0.00134,                0.00134
                     13,                    nan,                    nan,                    nan,                0.01309,                0.92308,                0.02014,                0.01197,                    nan,                    nan,                    nan,               0.001274,               0.001274,               0.001274
                     14,                    nan,                    nan,                    nan,                0.01342,                0.92308,                0.01905,                0.01219,                    nan,                    nan,                    nan,               0.001208,               0.001208,               0.001208
                     15,                    nan,                    nan,                    nan,                0.01292,                0.92308,                0.01936,                0.01241,                    nan,                    nan,                    nan,               0.001142,               0.001142,               0.001142
                     16,                    nan,                    nan,                    nan,                 0.0132,                0.92308,                0.02073,                0.01256,                    nan,                    nan,                    nan,               0.001076,               0.001076,               0.001076
                     17,                    nan,                    nan,                    nan,                 0.0132,                0.92308,                0.02009,                0.01182,                    nan,                    nan,                    nan,                0.00101,                0.00101,                0.00101
                     18,                    nan,                    nan,                    nan,                0.01338,                0.92308,                0.02049,                0.01303,                    nan,                    nan,                    nan,               0.000944,               0.000944,               0.000944
                     19,                    nan,                    nan,                    nan,                0.01317,                0.92308,                0.01933,                0.01229,                    nan,                    nan,                    nan,               0.000878,               0.000878,               0.000878
                     20,                    nan,                    nan,                    nan,                0.01299,                0.92308,                 0.0186,                0.01188,                    nan,                    nan,                    nan,               0.000812,               0.000812,               0.000812
                     21,                    nan,                    nan,                    nan,                 0.0119,                0.92308,                0.02018,                 0.0099,                    nan,                    nan,                    nan,               0.000746,               0.000746,               0.000746
                     22,                    nan,                    nan,                    nan,                0.01095,                0.84615,                0.01786,                 0.0085,                    nan,                    nan,                    nan,                0.00068,                0.00068,                0.00068
                     23,                    nan,                    nan,                    nan,                0.01193,                0.92308,                0.01956,                0.00967,                    nan,                    nan,                    nan,               0.000614,               0.000614,               0.000614
                     24,                    nan,                    nan,                    nan,                0.01194,                0.92308,                0.02114,                 0.0107,                    nan,                    nan,                    nan,               0.000548,               0.000548,               0.000548
                     25,                    nan,                    nan,                    nan,                0.01183,                0.92308,                0.01885,                0.00887,                    nan,                    nan,                    nan,               0.000482,               0.000482,               0.000482
                     26,                    nan,                    nan,                    nan,                0.01194,                0.92308,                0.01853,                0.00876,                    nan,                    nan,                    nan,               0.000416,               0.000416,               0.000416
                     27,                    nan,                    nan,                    nan,                0.01101,                0.84615,                0.01788,                 0.0086,                    nan,                    nan,                    nan,                0.00035,                0.00035,                0.00035
                     28,                    nan,                    nan,                    nan,                0.01218,                0.92308,                0.01692,                0.00753,                    nan,                    nan,                    nan,               0.000284,               0.000284,               0.000284
                     29,                    nan,                    nan,                    nan,                  0.012,                0.92308,                0.01943,                 0.0098,                    nan,                    nan,                    nan,               0.000218,               0.000218,               0.000218
                     30,                    nan,                    nan,                    nan,                0.01181,                0.92308,                0.01707,                0.00839,                    nan,                    nan,                    nan,               0.000152,               0.000152,               0.000152
